Adres,Plaats,Kamertype,Aantal reacties,Contractdatum,Toewijzing o.b.v. (* is met voorrang),Gescraped op
Oude Bennekomseweg 29--A003,Wageningen,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Cornelis Lelylaan 3-B38,Amsterdam,Zelf inrichten,40,09-04-2026,"Inschrijfduur: 5 jaren, 3 maanden, 25 dagen",2026-04-20 00:41
Carolina MacGillavrylaan 3090,Amsterdam,Zelf inrichten,49,09-04-2026,"Inschrijfduur: 5 jaren, 10 maanden, 2 dagen",2026-04-20 00:41
Uilenstede 451-5307,Amstelveen,Zelf inrichten,34,09-04-2026,"Inschrijfduur: 3 jaren, 7 maanden, 18 dagen",2026-04-20 00:41
Balthasar van der Polweg 472-B,Delft,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Van Hasseltlaan 264,Delft,Gemeubileerd,30,09-04-2026,Direct offer - Reactietijd,2026-04-20 00:41
Jan Krosstraat 20,'s-Gravenhage,Zelf inrichten,40,09-04-2026,"Inschrijfduur: 7 jaren, 2 maanden, 26 dagen",2026-04-20 00:41
Epsilonplantsoen 401,Leiden,Zelf inrichten,48,09-04-2026,"Inschrijfduur: 6 jaren, 3 maanden, 10 dagen",2026-04-20 00:41
Darlingstraat 661,Amsterdam,Zelf inrichten,30,09-04-2026,"Inschrijfduur: 3 jaren, 2 maanden, 8 dagen",2026-04-20 00:41
E. du Perronlaan 848-A,Delft,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Dennenrodepad 513,Amsterdam,Zelf inrichten,39,09-04-2026,"Inschrijfduur: 2 jaren, 4 maanden, 9 dagen",2026-04-20 00:41
Omegaplantsoen 466,Leiden,Zelf inrichten,84,09-04-2026,"Inschrijfduur: 4 jaren, 9 maanden, 12 dagen",2026-04-20 00:41
Nieuwe Kanaal 1--040,Wageningen,Gemeubileerd,8,09-04-2026,"Inschrijfduur: 3 jaren, 5 maanden, 25 dagen",2026-04-20 00:41
Haarweg 139--105,Wageningen,Zelf inrichten,3,09-04-2026,"Inschrijfduur: 2 jaren, 1 maand, 3 dagen",2026-04-20 00:41
Kaiserstraat 24-A K 5,Leiden,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Dijkgraaf 4--06B-7,Wageningen,Gemeubileerd,2,09-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 5 dagen",2026-04-20 00:41
Bornsesteeg 1--10C-X,Wageningen,Gemeubileerd,4,09-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 13 dagen",2026-04-20 00:41
Uilenstede 163-4038,Amstelveen,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Uilenstede 201-4298,Amstelveen,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Bornsesteeg 1--05B-5,Wageningen,Gemeubileerd,15,09-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 14 dagen",2026-04-20 00:41
Stamkartplein 409,'s-Gravenhage,Zelf inrichten,87,09-04-2026,"Inschrijfduur: 4 jaren, 8 maanden",2026-04-20 00:41
Bornsesteeg 1--15B-6,Wageningen,Gemeubileerd,8,09-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 11 dagen",2026-04-20 00:41
Rotterdamseweg 139-B14,Delft,Zelf inrichten,68,09-04-2026,"Inschrijfduur: 6 jaren, 6 maanden, 20 dagen",2026-04-20 00:41
Uilenstede 445-5257,Amstelveen,Zelf inrichten,30,09-04-2026,"Inschrijfduur: 3 jaren, 10 maanden, 27 dagen",2026-04-20 00:41
Haarweg 143--117,Wageningen,Zelf inrichten,1,09-04-2026,"Inschrijfduur: 1 jaar, 25 dagen",2026-04-20 00:41
Klikspaanweg 43-K 7,Leiden,Zelf inrichten,9,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Dennenrodepad 385,Amsterdam,Gestoffeerd,23,09-04-2026,"Inschrijfduur: 4 jaren, 2 maanden, 11 dagen",2026-04-20 00:41
Uilenstede 201-4306,Amstelveen,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Epsilonplantsoen 45,Leiden,Zelf inrichten,40,09-04-2026,"Inschrijfduur: 4 jaren, 10 maanden, 10 dagen",2026-04-20 00:41
Rijn en Schiekade 102-K 16,Leiden,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Isaäc da Costalaan 383-k3,Delft,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
van Hasseltlaan 564-B,Delft,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Bornsesteeg 1--08C-9,Wageningen,Gemeubileerd,9,09-04-2026,"Inschrijfduur: 1 jaar, 11 maanden, 16 dagen",2026-04-20 00:41
Marijkeweg 26--3B11,Wageningen,Zelf inrichten,30,09-04-2026,"Inschrijfduur: 2 jaren, 23 dagen *",2026-04-20 00:41
Jacoba van Beierenlaan 39-K 16,Delft,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Pelikaanhof 38-A,Leiden,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Bornsesteeg 1--18C-X,Wageningen,Gemeubileerd,5,09-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 11 dagen",2026-04-20 00:41
Bornsesteeg 1--04A-9,Wageningen,Gemeubileerd,13,09-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 19 dagen",2026-04-20 00:41
Klikspaanweg 47-K 18,Leiden,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Carolina MacGillavrylaan 2998,Amsterdam,Zelf inrichten,44,09-04-2026,"Inschrijfduur: 5 jaren, 5 dagen",2026-04-20 00:41
Coenderstraat 1-K 210,Delft,Zelf inrichten,25,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Van Heemskerckstraat 1-K K14,Groningen,Gestoffeerd,9,09-04-2026,"Inschrijfduur: 7 jaren, 23 dagen",2026-04-20 00:41
Esdoornlaan 264-K2,Groningen,Gestoffeerd,8,09-04-2026,"Inschrijfduur: 1 jaar, 5 maanden, 8 dagen",2026-04-20 00:41
Oudraadtweg 15-K 3,Delft,Zelf inrichten,-,09-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Darlingstraat 453,Amsterdam,Zelf inrichten,28,09-04-2026,"Inschrijfduur: 2 jaren, 4 maanden, 20 dagen",2026-04-20 00:41
Omegaplantsoen 338,Leiden,Zelf inrichten,78,09-04-2026,"Inschrijfduur: 4 jaren, 6 maanden, 25 dagen",2026-04-20 00:41
Haarweg 235--29,Wageningen,Zelf inrichten,4,08-04-2026,"Inschrijfduur: 6 maanden, 18 dagen",2026-04-20 00:41
Darlingstraat 243,Amsterdam,Zelf inrichten,14,08-04-2026,"Inschrijfduur: 1 jaar, 8 maanden, 30 dagen",2026-04-20 00:41
Uilenstede 177-4134,Amstelveen,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Kolffpad 235,Leiden,Zelf inrichten,49,08-04-2026,"Inschrijfduur: 6 jaren, 7 dagen",2026-04-20 00:41
E. du Perronlaan 540-A,Delft,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Uilenstede 197-4280,Amstelveen,Zelf inrichten,22,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Oudraadtweg 15-K 2,Delft,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Gaudikade 239,Hoofddorp,Zelf inrichten,18,08-04-2026,"Inschrijfduur: 2 jaren, 6 maanden, 4 dagen",2026-04-20 00:41
Hoevestein 239--14B-5,Wageningen,Zelf inrichten,1,08-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 18 dagen",2026-04-20 00:41
Haarweg 149--209,Wageningen,Zelf inrichten,2,08-04-2026,"Inschrijfduur: 2 jaren, 2 maanden, 13 dagen",2026-04-20 00:41
Uilenstede 502-112,Amstelveen,Zelf inrichten,59,08-04-2026,"Inschrijfduur: 4 jaren, 11 maanden, 18 dagen",2026-04-20 00:41
Krelis Louwenstraat 5-D11,Amsterdam,Zelf inrichten,57,08-04-2026,"Inschrijfduur: 7 jaren, 6 maanden, 3 dagen",2026-04-20 00:41
Ben van Londenstraat 4--4,Wageningen,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Omegaplantsoen 841,Leiden,Zelf inrichten,48,08-04-2026,"Inschrijfduur: 6 jaren, 5 maanden, 10 dagen",2026-04-20 00:41
Uilenstede 177-4128,Amstelveen,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Dennenrodepad 203,Amsterdam,Zelf inrichten,20,08-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 9 dagen",2026-04-20 00:41
Hoefweg 125--1,Ede,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
E. du Perronlaan 264-D,Delft,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Dennenrodepad 697,Amsterdam,Zelf inrichten,20,08-04-2026,"Inschrijfduur: 2 jaren, 9 maanden, 22 dagen",2026-04-20 00:41
Epsilonplantsoen 331,Leiden,Zelf inrichten,50,08-04-2026,"Inschrijfduur: 4 jaren, 7 maanden, 2 dagen",2026-04-20 00:41
Carolina MacGillavrylaan 2530,Amsterdam,Zelf inrichten,40,08-04-2026,"Inschrijfduur: 4 jaren, 6 maanden, 17 dagen",2026-04-20 00:41
Haarweg 53--618,Wageningen,Zelf inrichten,4,08-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 7 dagen",2026-04-20 00:41
Uilenstede 500-72,Amstelveen,Zelf inrichten,52,08-04-2026,"Inschrijfduur: 9 jaren, 2 maanden, 16 dagen",2026-04-20 00:41
Stieltjesweg 722-D,Delft,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Flanorpad 4-A K 4,Leiden,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Kraanspoor 21-E1,Amsterdam,Zelf inrichten,16,08-04-2026,"Inschrijfduur: 4 jaren, 6 maanden, 21 dagen",2026-04-20 00:41
Marijkeweg 26--4A2,Wageningen,Zelf inrichten,30,08-04-2026,"Inschrijfduur: 3 jaren, 5 maanden, 24 dagen",2026-04-20 00:41
Houtlaan 133,Leiden,Zelf inrichten,-,08-04-2026,Maatwerk / Urgentie,2026-04-20 00:41
Klikspaanweg 43-K 13,Leiden,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Dudokstraat 203,Hoofddorp,Gestoffeerd,14,08-04-2026,"Inschrijfduur: 8 maanden, 13 dagen",2026-04-20 00:41
Dudokstraat 137,Hoofddorp,Zelf inrichten,6,08-04-2026,"Inschrijfduur: 1 jaar, 7 maanden, 21 dagen",2026-04-20 00:41
Prinses Irenestraat 21,Hoofddorp,Zelf inrichten,97,08-04-2026,"Inschrijfduur: 7 jaren, 11 maanden, 5 dagen",2026-04-20 00:41
Dennenrodepad 36,Amsterdam,Gestoffeerd,24,08-04-2026,"Inschrijfduur: 2 jaren, 1 maand, 15 dagen",2026-04-20 00:41
Gaudikade 421,Hoofddorp,Zelf inrichten,13,08-04-2026,"Inschrijfduur: 1 jaar, 2 maanden, 5 dagen",2026-04-20 00:41
Gaudikade 381,Hoofddorp,Zelf inrichten,18,08-04-2026,"Inschrijfduur: 4 jaren, 2 maanden, 25 dagen",2026-04-20 00:41
Rotterdamseweg 139-A88,Delft,Zelf inrichten,48,08-04-2026,"Inschrijfduur: 3 jaren, 4 maanden, 3 dagen *",2026-04-20 00:41
Haarweg 311--B-5,Wageningen,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Dennenrodepad 933,Amsterdam,Zelf inrichten,66,08-04-2026,"Inschrijfduur: 2 jaren, 10 maanden, 3 dagen",2026-04-20 00:41
Opaallaan 432,Hoofddorp,Zelf inrichten,14,08-04-2026,"Inschrijfduur: 1 jaar, 1 maand",2026-04-20 00:41
Bagijnhof 233,Delft,Zelf inrichten,-,08-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Eendrachtskade 12-60,Groningen,Zelf inrichten,59,08-04-2026,"Inschrijfduur: 5 jaren, 4 maanden, 27 dagen",2026-04-20 00:41
Pierre Lallementstraat 386,Amsterdam,Gemeubileerd,23,08-04-2026,Direct offer - Reactietijd,2026-04-20 00:41
Dennenrodepad 175,Amsterdam,Zelf inrichten,15,08-04-2026,"Inschrijfduur: 3 jaren, 4 maanden, 6 dagen",2026-04-20 00:41
Harderwijkstraat 59-A,'s-Gravenhage,Zelf inrichten,71,08-04-2026,"Inschrijfduur: 4 jaren, 4 maanden, 26 dagen",2026-04-20 00:41
Bornsesteeg 1--20B-6,Wageningen,Gemeubileerd,6,08-04-2026,"Inschrijfduur: 1 jaar, 10 maanden, 22 dagen",2026-04-20 00:41
Bos en Lommerplein 167-A,Amsterdam,Zelf inrichten,31,08-04-2026,"Inschrijfduur: 4 jaren, 11 maanden, 22 dagen",2026-04-20 00:41
Marijkeweg 28--0C8,Wageningen,Zelf inrichten,35,08-04-2026,"Inschrijfduur: 1 jaar, 6 maanden *",2026-04-20 00:41
Balthasar van der Polweg 582-A,Delft,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Flanorpad 2-C K 47,Leiden,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Hogewoerd 34-K 3,Leiden,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Bornsesteeg 1--04B-5,Wageningen,Gemeubileerd,8,07-04-2026,"Inschrijfduur: 1 jaar, 11 maanden, 9 dagen",2026-04-20 00:41
Doelenstraat 127,Delft,Zelf inrichten,158,07-04-2026,"Inschrijfduur: 9 jaren, 6 maanden, 20 dagen",2026-04-20 00:41
Bornsesteeg 1--12B-5,Wageningen,Gemeubileerd,12,07-04-2026,"Inschrijfduur: 3 jaren, 5 maanden, 5 dagen",2026-04-20 00:41
Jacoba van Beierenlaan 15-K1,Delft,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Oost-Indiëplaats 95-A,Delft,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Opaallaan 722,Hoofddorp,Zelf inrichten,23,07-04-2026,"Inschrijfduur: 2 jaren, 8 maanden, 2 dagen",2026-04-20 00:41
Jacoba van Beierenlaan 93-K 7,Delft,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Morsweg 52-K 42,Leiden,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Klikspaanweg 39-K 9,Leiden,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Röntgenweg 479,Delft,Zelf inrichten,89,07-04-2026,"Inschrijfduur: 6 jaren, 7 maanden, 11 dagen",2026-04-20 00:41
Zusterlaan 214,Delft,Gemeubileerd,32,07-04-2026,Direct offer - Reactietijd,2026-04-20 00:41
Costerweg 65--106,Wageningen,Zelf inrichten,19,07-04-2026,"Inschrijfduur: 3 jaren, 8 maanden, 26 dagen",2026-04-20 00:41
Papenstraat 20-C3,Delft,Zelf inrichten,68,07-04-2026,"Inschrijfduur: 2 maanden, 9 dagen *",2026-04-20 00:41
Bagijnhof 17-004,Delft,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Voorstraat 76-K3,Delft,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Prins Hendrikstraat 21-T,'s-Gravenhage,Zelf inrichten,-,07-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Balthasar van der Polweg 610,Delft,Zelf inrichten,-,07-04-2026,Maatwerk / Urgentie,2026-04-20 00:41
Scheepvaartstraat 6-C91,Deventer,Zelf inrichten,43,07-04-2026,"Inschrijfduur: 3 jaren, 4 maanden, 16 dagen",2026-04-20 00:41
Opaallaan 946,Hoofddorp,Zelf inrichten,-,07-04-2026,Maatwerk / Urgentie,2026-04-20 00:41
Nieuwstraat 11-E,'s-Gravenhage,Zelf inrichten,125,07-04-2026,"Inschrijfduur: 6 jaren, 6 maanden, 6 dagen",2026-04-20 00:41
Mouterij 25--10,Wageningen,Gemeubileerd,11,07-04-2026,"Inschrijfduur: 4 jaren, 3 maanden, 1 dag",2026-04-20 00:41
Darlingstraat 665,Amsterdam,Zelf inrichten,18,07-04-2026,"Inschrijfduur: 7 maanden, 13 dagen",2026-04-20 00:41
2e Kruisstraat 3-C k3,Deventer,Zelf inrichten,-,06-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Carolina MacGillavrylaan 1918-4,Amsterdam,Gestoffeerd,-,06-04-2026,Bemiddeling met reden: Direct Offer Bemiddeling,2026-04-20 00:41
Uilenstede 264-1812,Amstelveen,Zelf inrichten,17,06-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Balthasar van der Polweg 478-A,Delft,Zelf inrichten,-,06-04-2026,Kandidaat voorgedragen door bewoners,2026-04-20 00:41
Uilenstede 502-19,Amstelveen,Zelf inrichten,27,06-04-2026,"Inschrijfduur: 6 jaren, 7 maanden, 11 dagen",2026-04-20 00:41
Dennenrodepad 667,Amsterdam,Zelf inrichten,17,,Geannuleerd: Mutatieonderhoud,2026-04-20 00:41
Gaudikade 219,Hoofddorp,Zelf inrichten,14,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
E. du Perronlaan 244-B,Delft,Zelf inrichten,22,,Geannuleerd: Overige,2026-04-20 00:41
Dijkgraaf 4--05B-8,Wageningen,Gemeubileerd,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Harderwijkstraat 63-D,'s-Gravenhage,Zelf inrichten,50,,Geannuleerd: Overige,2026-04-20 00:41
Eendrachtskade 134-K1,Groningen,Zelf inrichten,23,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Opaallaan 246,Hoofddorp,Zelf inrichten,9,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 53--613,Wageningen,Gemeubileerd,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hoefweg 33--1,Ede,Zelf inrichten,13,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Duindoornstraat 117-K5,Groningen,Gestoffeerd,10,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 41--505,Wageningen,Zelf inrichten,3,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Damsport 135-K2,Groningen,Zelf inrichten,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hoevestein 239--11A-4,Wageningen,Zelf inrichten,2,,Geannuleerd: Overige,2026-04-20 00:41
Nudestraat 15--7,Wageningen,Zelf inrichten,14,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Mudaheerd 39-K1,Groningen,Zelf inrichten,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Bruynssteeg 2-k4,Deventer,Zelf inrichten,-,,Geannuleerd: Overige,2026-04-20 00:41
Dennenrodepad 495,Amsterdam,Zelf inrichten,37,,Geannuleerd: Annulering via OWI (University Housing),2026-04-20 00:41
Damsport 101-K2,Groningen,Zelf inrichten,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hoevestein 239--10C-3,Wageningen,Gemeubileerd,7,,Geannuleerd: Overige,2026-04-20 00:41
Hoevestein 239--08A-6,Wageningen,Zelf inrichten,3,,Geannuleerd: Overige,2026-04-20 00:41
Haarweg 35--407,Wageningen,Zelf inrichten,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 91--305,Wageningen,Zelf inrichten,3,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 9--103,Wageningen,Gemeubileerd,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 81--132,Wageningen,Zelf inrichten,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Dijkgraaf 4--03A-4,Wageningen,Gemeubileerd,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Mudaheerd 28-K3,Groningen,Zelf inrichten,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hogewoerd 144-H,Leiden,Gemeubileerd,4,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Mudaheerd 24-K2,Groningen,Zelf inrichten,-,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Cornelis Lelylaan 5-B10,Amsterdam,Gemeubileerd,3,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hoevestein 239--10A-7,Wageningen,Zelf inrichten,1,,Geannuleerd: Overige,2026-04-20 00:41
Bornsesteeg 1--17B-1,Wageningen,Gemeubileerd,4,,Geannuleerd: Opnieuw leeggemeld: foutieve advertentie,2026-04-20 00:41
Haarweg 311--B-3,Wageningen,Zelf inrichten,-,,Geannuleerd: Overige,2026-04-20 00:41
Haarweg 113--529,Wageningen,Zelf inrichten,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 81--134,Wageningen,Zelf inrichten,-,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hoevestein 239--02A-7,Wageningen,Zelf inrichten,1,,Geannuleerd: Overige,2026-04-20 00:41
Haarweg 81--136,Wageningen,Gemeubileerd,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Mudaheerd 26-K1,Groningen,Zelf inrichten,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hoevestein 239--10B-5,Wageningen,Zelf inrichten,1,,Geannuleerd: Overige,2026-04-20 00:41
Hoevestein 239--04C-4,Wageningen,Zelf inrichten,-,,Geannuleerd: Overige,2026-04-20 00:41
Hoevestein 239--13C-7,Wageningen,Zelf inrichten,1,,Geannuleerd: Overige,2026-04-20 00:41
Hoevestein 239--12B-7,Wageningen,Zelf inrichten,-,,Geannuleerd: Overige,2026-04-20 00:41
Haarweg 209--320,Wageningen,Gemeubileerd,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 19--209,Wageningen,Zelf inrichten,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 111--519,Wageningen,Gemeubileerd,-,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hoefweg 27--5,Ede,Zelf inrichten,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 5--22,Wageningen,Gemeubileerd,4,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Hoevestein 239--06C-7,Wageningen,Gemeubileerd,2,,Geannuleerd: Overige,2026-04-20 00:41
Haarweg 249--213,Wageningen,Gemeubileerd,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 209--323,Wageningen,Zelf inrichten,3,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 43--512,Wageningen,Zelf inrichten,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 97--330,Wageningen,Gemeubileerd,-,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Opaallaan 284,Hoofddorp,Zelf inrichten,-,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Rudi van Dantzigstraat 1280,Amsterdam,Zelf inrichten,200,,Geannuleerd: Huuropzegging ingetrokken,2026-04-20 00:41
Leemansplein 373,'s-Gravenhage,Zelf inrichten,68,,Geannuleerd: Huuropzegging ingetrokken,2026-04-20 00:41
Haarweg 71--21,Wageningen,Gemeubileerd,5,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Jan Michielshof 8,Leiden,Zelf inrichten,-,,Geannuleerd: Overige,2026-04-20 00:41
Wagenstraat 140-A 3,Den Haag,Gestoffeerd,-,,Geannuleerd: Overige,2026-04-20 00:41
Dijkgraaf 4--02C15,Wageningen,Gemeubileerd,1,,Geannuleerd: Huuropzegging ingetrokken,2026-04-20 00:41
Uilenstede 437-5198,Amstelveen,Zelf inrichten,-,,Geannuleerd: Overige,2026-04-20 00:41
Haarweg 95--315,Wageningen,Gemeubileerd,2,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Haarweg 151--225,Wageningen,Gemeubileerd,1,,Geannuleerd: Opnieuw leeggemeld: te weinig passende reacties,2026-04-20 00:41
Mijnbouwstraat 116-X,Delft,Zelf inrichten,47,,Geannuleerd: Huuropzegging ingetrokken,2026-04-20 00:41
